sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	C50 Buddhist Studies-A 	24 English-Credit 	98 Music-Credit 	20A Music-A 	C70V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	25A Music-A 	98 Music-Credit 	C103 Public Policy-A 	61 Interdisciplinary Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	177 Dutch-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Interdisciplinary Studies-A 	R5A South & SE Asian Studies-A 	115 Global Poverty & Practice-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Legal Studies-A 	61 Molecular & Cell Biology-A 	C100 Development Studies-A 	R1B History of Art-A 	sem 5: 	major: ['Interdisciplinary Studies']: 	183 Anthropology-A 	1B Biology-A 	159AC Geography-A 	150 International & Area Stds-A 	sem 6: 	major: ['Interdisciplinary Studies']: 	8A Physics-B 	104 Gender & Womens Studies-Credit 	1A Chemistry-A 	1AL Chemistry-A 	158AC International & Area Stds-A 	sem 7: 	major: ['Interdisciplinary Studies']: 	189 Interdisciplinary Studies-A 	sem 8: 	major: ['Interdisciplinary Studies']: 	98 Mathematics-Credit 	3A Chemistry-A 	16A Mathematics-A 	123 Geography-A 	3AL Chemistry-A 
label: 	['105 Global Poverty & Practice', '3BL Chemistry', '1A Biology', '3B Chemistry', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1A Chemistry-B 	1A Mathematics-C 	R1B Rhetoric-A 	C70V Letters & Science-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R5B South Asian-Credit 	1B Mathematics-B 	3AL Chemistry-A 	3A Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	1 Psychology-Credit 	3B Chemistry-A 	1B Biology-B 	C55 Geography-A 
label: 	['26AC Music', '1AL Biology', '1A Biology', '1 Sociology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-B 	98 Mechanical Engineering-Credit 	1A Mathematics-A 	1AL Chemistry-A 	R1A Rhetoric-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	R1B Comparative Literature-B 	3AC Anthropology-B 	1B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	8A Physics-A 	44 Env Sci, Policy, & Mgmt-A 	80 Earth & Planetary Science-A 	3A Chemistry-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8B Physics-B 	3B Chemistry-B 	2 Statistics-B 	3BL Chemistry-A 
label: 	['131 Integrative Biology', '110 Native American Studies', 'C12 Env Sci, Policy, & Mgmt', '1A Biology', '1AL Biology']
predict: 	['1A Biology', '132 Molecular & Cell Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '136 Molecular & Cell Biology', 'C112 Molecular & Cell Biology', '1A Chemistry', '4A Chemistry', '137 Integrative Biology']
correct: 	['1A Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	32 Physical Education-A 	1AL Chemistry-A 	R1B Rhetoric-B 	1A Chemistry-A 	10A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10B Mathematics-A 	50AC Geography-A 	3AL Chemistry-A 	1 Economics-B 	3A Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	3BL Chemistry-A 	1B Biology-A 	5 Sociology-Credit 	27 Music-A 
label: 	['1AL Biology', '8A Physics', '198 Psychology', '25 Bioengineering', '1 Psychology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	53 Mathematics-C 	1AL Chemistry-B 	50 Molecular & Cell Biology-B 	40 Italian Studies-A 	1A Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-C 	8A Physics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1A Biology-B 	1AL Biology-B 	R1B Comparative Literature-B 	120AC History-A 	3AL Chemistry-A 
label: 	['1B Biology', '198 Ethnic Studies', '2 Statistics', '3BL Chemistry', '3B Chemistry']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '150 Molecular & Cell Biology', '1B Biology', '7A Physics']
correct: 	['3B Chemistry', '1B Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	3AC Anthropology-B 	16A Mathematics-A 	R2A Asian American Studies-A 	1AL Chemistry-A 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	16B Mathematics-A 	1 Psychology-A 	3A Chemistry-A 	R1B Theater Dance & Perf Stds-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	3B Chemistry-A 	25A Music-A 	3BL Chemistry-A 
label: 	['1AL Biology', '8A Physics', '1A Biology', '124 Classics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Bioengineering-A 	54 Mathematics-B 	1 Psychology-A 	24 Bioengineering-Credit 	1A Chemistry-B 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B History-A 	3AL Chemistry-A 	53 Mathematics-A 	3A Chemistry-A 	25 Bioengineering-Credit 	7A Physics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	1B Biology-A 	3B Chemistry-A 	1 German-A 	3AC Sociology-A 
label: 	['1A Biology', '7B Physics', '1AL Biology', '2 Statistics', 'C105 Linguistics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1A Chemistry-B 	98 Asian American Studies-Credit 	20A Asian American Studies-Credit 	10A Mathematics-B 	8A Physics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-C 	98 Asian American Studies-Credit 	R1B Comparative Literature-B 	8B Physics-B 	3AL Chemistry-A 	10B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5B Anthropology-A 	128AC Asian American Studies-A 	3BL Chemistry-A 	3B Chemistry-B 	1 Psychology-A 
label: 	['198 Molecular & Cell Biology', '1A Biology', '1AL Biology', '1 Sociology', '11 Nutritional Science & Tox', 'C128 East Asian Languages']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	3AC Anthropology-A 	1AL Chemistry-A 	6 Env Sci, Policy, & Mgmt-A 	1A Chemistry-A 	1A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	1 Psychology-A 	R1B Linguistics-A 	3AL Chemistry-A 	1B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1A Biology-A 	3BL Chemistry-A 	198 Health & Medical Sciences-Credit 	3B Chemistry-A 	1AL Biology-A 	C77 English-A 
label: 	['1B Biology', 'C61 Molecular & Cell Biology', '8A Physics', '1 Sociology']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '100B Molecular & Cell Biology', '1B Biology']
correct: 	['1B Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	R5A Slavic Languages & Lit-A 	1AL Chemistry-A 	98 Molecular & Cell Biology-Credit 	3 Physical Education-Credit 	1A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	13 Art Practice-A 	C61 Molecular & Cell Biology-A 	1B Mathematics-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	R5B Slavic Languages & Lit-A 	3B Chemistry-A 	3BL Chemistry-A 
label: 	['1 Sociology', '1A Biology', '1AL Biology', '1 Psychology', '131A Statistics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Nutritional Science']: 	24 Integrative Biology-Credit 	1A Chemistry-B 	98BC Env Sci, Policy, & Mgmt-Credit 	10 Nutritional Science & Tox-A 	1AL Chemistry-A 	3AC Anthropology-A 	sem 1: 	major: ['Nutritional Science']: 	98BC Env Sci, Policy, & Mgmt-Credit 	160B Letters & Science-A 	3AL Chemistry-A 	98 Ethnic Studies-Credit 	16A Mathematics-A 	24 Integrative Biology-Credit 	C101 Natural Resources-Credit 	3A Chemistry-B 	sem 2: 	major: ['Nutritional Science']: 	3B Chemistry-B 	94 Peace & Conflict Studies-Credit 	180 Plant Biology-B 	32L Molecular & Cell Biology-A 	3BL Chemistry-A 	32 Molecular & Cell Biology-A 	16B Mathematics-A 
label: 	['1AL Biology', '198BC Env Sci, Policy, & Mgmt', '13 French', '1A Biology', '104 Nutritional Science & Tox', '98 Env Sci, Policy, & Mgmt', '113 Env Sci, Policy, & Mgmt']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Nutritional Science']: 	16A Mathematics-A 	1A Chemistry-B 	100A Japanese-A 	1AL Chemistry-A 	10 Nutritional Science & Tox-A 	sem 1: 	major: ['Nutritional Science']: 	R5B Italian Studies-B 	100B Japanese-A 	3A Chemistry-A 	3AL Chemistry-A 	C101 Natural Resources-Credit 	sem 2: 	major: ['Nutritional Science']: 	32 Molecular & Cell Biology-B 	3B Chemistry-A 	3BL Chemistry-A 	32L Molecular & Cell Biology-A 	3AC Anthropology-Credit 	2 Statistics-B 
label: 	['1A Biology', 'C3 Economics', '102 Japanese', '1AL Biology', '104 Nutritional Science & Tox']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Molecular Environ Biology']: 	16A Mathematics-A 	R1A Rhetoric-A 	3AC Anthropology-A 	24 Integrative Biology-Credit 	98 Env Sci, Policy, & Mgmt-Credit 	sem 1: 	major: ['Molecular Environ Biology']: 	1A Chemistry-B 	24 Integrative Biology-A 	15 Env Sci, Policy, & Mgmt-A 	1AL Chemistry-A 	16B Mathematics-A 	R1B Rhetoric-A 	sem 2: 	major: ['Molecular Environ Biology']: 	N3AL Chemistry-A 	3A Chemistry-C 	sem 3: 	major: ['Molecular Environ Biology']: 	C12 Env Sci, Policy, & Mgmt-A 	3BL Chemistry-A 	3B Chemistry-C 	61A Computer Science-Credit 
label: 	['1A Biology', '8A Physics', 'C160V Letters & Science', '1AL Biology']
predict: 	['150 Molecular & Cell Biology', '1B Biology', '132 Integrative Biology', '140 Integrative Biology', '137B Physics', '137A Physics', '150L Molecular & Cell Biology', '7C Physics', '1B Chemistry', 'H7B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	3AC Sociology-A 	10A Mathematics-A 	94 Peace & Conflict Studies-Credit 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R5B Italian Studies-A 	3AL Chemistry-A 	50 Molecular & Cell Biology-A 	3A Chemistry-A 	10B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-A 	1B Biology-A 	R5A German-A 	115 Global Poverty & Practice-A 
label: 	['1 Psychology', '1AL Biology', '1A Biology', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10A Mathematics-B 	C12 Env Sci, Policy, & Mgmt-A 	1A Chemistry-A 	1AL Chemistry-A 	24 Integrative Biology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	26 English-A 	11 Nutritional Science & Tox-A 	98 Mathematics-Credit 	10B Mathematics-A 	3A Chemistry-B 	3AC Anthropology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	R1B Film-A 	1B Biology-A 	W1 Psychology-B 	3B Chemistry-B 
label: 	['3BL Chemistry', 'C61 Molecular & Cell Biology', '1AL Biology', '1 Sociology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	24 Psychology-Credit 	1AL Chemistry-A 	10A Mathematics-A 	R1A English-B 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	35 Classics-Credit 	R5B South & SE Asian Studies-A 	10B Mathematics-A 	3A Chemistry-A 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	35AC Integrative Biology-Credit 	1B Biology-A 	1 Psychology-A 	118 Molecular & Cell Biology-Credit 	3B Chemistry-A 	3BL Chemistry-A 
label: 	['8A Physics', '198 Public Health', '1A Biology', '1 Sociology', '1AL Biology', '10 Nutritional Science & Tox']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Mathematics-Credit 	1AL Chemistry-A 	R5A South & SE Asian Studies-A 	98 Integrative Biology-Credit 	10A Mathematics-A 	24 Integrative Biology-A 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	301C Chemistry-Credit 	98 Mathematics-Credit 	3A Chemistry-A 	3AL Chemistry-A 	10B Mathematics-A 	R5B South & SE Asian Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	20AC Asian American Studies-A 	3B Chemistry-A 	1 Psychology-A 	8A Physics-B 
label: 	['C8 Statistics', '1A Biology', '1AL Biology', 'C167 Sociology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	R44 Classics-A 	98 Molecular & Cell Biology-Credit 	1A Chemistry-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	301C Chemistry-Credit 	98 Cognitive Science-Credit 	98 Asian Studies-Credit 	3AL Chemistry-A 	1B Mathematics-A 	24 Vision Science-Credit 	R4B College Writing Programs-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	98 Landscape Arch & Env Plan-Credit 	138 History-A 	1 Psychology-A 	84 Vision Science-Credit 	1B Biology-A 	3BL Chemistry-A 	3B Chemistry-A 	98 Molecular & Cell Biology-Credit 
label: 	['1AL Biology', '198 Psychology', '1 Political Science', '8A Physics', '3AC Sociology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '132 Integrative Biology', '150 Molecular & Cell Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	24 Linguistics-Credit 	1A Chemistry-C 	1AL Chemistry-B 	162 Env Sci, Policy, & Mgmt-A 	10A Mathematics-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Mathematics-Credit 	3A Chemistry-B 	R1A English-B 	3AL Chemistry-A 	11AC Ethnic Studies-B 	10B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	1B Biology-B 	25 Spanish-A 	98 Env Sci, Policy, & Mgmt-Credit 	3B Chemistry-B 
label: 	['1AL Biology', '1A Biology', '10B Classics', '8A Physics', '135 Spanish']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-B 	7A History-A 	10A Mathematics-A 	1AL Chemistry-A 	24 Integrative Biology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	116 Public Health-Credit 	98 Public Policy-Credit 	3AL Chemistry-A 	1 Psychology-A 	39A Earth & Planetary Science-A 	3A Chemistry-B 	98 Mathematics-Credit 	10B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	1A Arabic-A 	3AC Sociology-A 	98 Computer Science-Credit 	3B Chemistry-B 
label: 	['1A Biology', '98 Molecular & Cell Biology', '1AL Biology', '8A Physics', 'C3 Economics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Nutritional Science']: 	1AL Chemistry-A 	10 Nutritional Science & Tox-A 	98 Molecular & Cell Biology-Credit 	98 Architecture-Credit 	11A Persian-A 	3 Physical Education-Credit 	1A Chemistry-B 	sem 1: 	major: ['Nutritional Science']: 	C101 Letters & Science-Credit 	165 Near Eastern Studies-A 	16A Mathematics-A 	3AL Chemistry-A 	3A Chemistry-B 	24 Psychology-Credit 	sem 2: 	major: ['Nutritional Science']: 	3B Chemistry-C 	20A Persian-A 	R1A Near Eastern Studies-A 	3BL Chemistry-A 	32 Molecular & Cell Biology-B 	32L Molecular & Cell Biology-A 
label: 	['R5B German', '2 Statistics', '3AC Sociology', '1AL Biology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1A Chemistry', '1AL Biology', '132 Integrative Biology', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-B 	1AL Chemistry-B 	1A Chemistry-B 	R1B Near Eastern Studies-A 	98 Psychology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	181B American Studies-Credit 	N3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	1B Biology-A 	2AC Anthropology-A 	3BL Chemistry-A 
label: 	['82 UGIS-UG Interdisc Studies', '1AL Biology', 'C188 Near Eastern Studies', '1A Biology', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	17A Classics-B 	24 Integrative Biology-Credit 	1A Mathematics-B 	1AL Chemistry-A 	1A Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	3A Chemistry-B 	3AL Chemistry-A 	1 Anthropology-A 	26AC Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5A South Asian-A 	2AC Anthropology-A 	98 Public Health-Credit 	3BL Chemistry-A 	1B Biology-A 	3B Chemistry-B 
label: 	['8A Physics', '1AL Biology', '179 Anthropology', 'R5B South Asian', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1 Latin-A 	1AL Chemistry-A 	R1B History of Art-B 	1A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	3AL Chemistry-A 	1 Anthropology-A 	8A Physics-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	3B Chemistry-A 	8B Physics-A 	2AC Anthropology-A 
label: 	['1AL Biology', '1 Sociology', '2 Psychology', 'C160V Letters & Science', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '1AL Biology', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	25A Philosophy-A 	10A Mathematics-A 	35AC Integrative Biology-A 	3 Philosophy-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	10B Mathematics-A 	1B Biology-A 	1A Chemistry-B 	98 Mathematics-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	3AL Chemistry-A 	1A Biology-B 	8A Physics-B 	1AL Biology-B 
label: 	['8B Physics', '104 Rhetoric', '3B Chemistry', '198 Psychology', '140 Integrative Biology', '3BL Chemistry']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '7A Physics', '150 Molecular & Cell Biology', '132 Integrative Biology', '100B Molecular & Cell Biology', '7B Physics']
correct: 	['3B Chemistry', '8B Physics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1B Mathematics-A 	R1B English-B 	1AL Chemistry-A 	1 Anthropology-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1A Biology-A 	1AL Biology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	10 Geography-A 	1B Biology-B 	3A Chemistry-A 	3AL Chemistry-A 	12A Philosophy-A 
label: 	['8A Physics', '3B Chemistry', '3BL Chemistry', '128 Music', '160 Psychology']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '100B Molecular & Cell Biology']
correct: 	['3B Chemistry']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Geography-A 	1A Chemistry-C 	1AL Chemistry-A 	98 Mathematics-Credit 	24 Integrative Biology-B 	10A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10B Mathematics-B 	98 Mathematics-Credit 	1A Biology-A 	R1A Comparative Literature-A 	1AL Biology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R1B English-B 	1B Biology-A 	3AL Chemistry-A 	3A Chemistry-A 
label: 	['10 Nutritional Science & Tox', '8A Physics', '3BL Chemistry', '3B Chemistry', '3AC Anthropology']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics', '100B Molecular & Cell Biology']
correct: 	['3B Chemistry']

sem 0: 	major: ['Chemistry']: 	96 Chemistry-Credit 	24 Integrative Biology-A 	35AC Integrative Biology-A 	4A Chemistry-B 	98W Chemistry-Credit 	53 Mathematics-B 	sem 1: 	major: ['Chemistry']: 	54 Mathematics-B 	5 History-B 	98 Chemistry-Credit 	98W Chemistry-Credit 	4B Chemistry-B 	8A Physics-B 	24 Integrative Biology-A 	sem 2: 	major: ['Chemistry']: 	1B Biology-B 	95 Integrative Biology-Credit 	3AL Chemistry-A 	3A Chemistry-B 	8B Physics-B 	10 Plant Biology-B 
label: 	['1A Biology', 'R1B English', '3BL Chemistry', '1AL Biology', '3B Chemistry']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '1AL Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Integrative Biology-Credit 	1AL Chemistry-A 	R2A Asian American Studies-A 	1A Chemistry-B 	1A Mathematics-B 	90E Molecular & Cell Biology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R5B Scandinavian-A 	3A Chemistry-A 	3AL Chemistry-A 	3AC Sociology-A 	1B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	116 Public Health-Credit 	3B Chemistry-A 	1B Biology-B 	27 Music-A 
label: 	['70 Italian Studies', '2 Statistics', '1AL Biology', '1A Biology', '20B Music']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

